Case ID;Activity;Resource;Complete Timestamp;Variant;Variant index;(case) channel;(case) department;(case) group;(case) responsible;concept:instance;concept:name;lifecycle:transition;org:group;Duration
case-4920;T06 Determine necessity of stop advice-complete;Resource15;2011/01/24 08:59:58.170;Variant 1;1;Post;General;;Resource15;task-7938;T06 Determine necessity of stop advice;complete;Group 1;515949.602
case-4920;T10 Determine necessity to stop indication-complete;Resource15;2011/01/24 09:00:21.103;Variant 1;1;Post;General;;Resource15;task-9278;T10 Determine necessity to stop indication;complete;Group 1;22.933
case-4922;Confirmation of receipt-complete;Resource02;2011/01/17 11:08:48.046;Variant 5;5;Post;General;;Resource02;task-5410;Confirmation of receipt;complete;EMPTY;0.0
case-4922;T02 Check confirmation of receipt-complete;Resource02;2011/01/17 11:09:50.532;Variant 5;5;Post;General;;Resource02;task-8559;T02 Check confirmation of receipt;complete;EMPTY;62.486
case-4922;T04 Determine confirmation of receipt-complete;Resource10;2011/01/17 11:58:20.624;Variant 5;5;Post;General;;Resource02;task-8561;T04 Determine confirmation of receipt;complete;Group 3;2910.092
case-4922;T06 Determine necessity of stop advice-complete;Resource02;2011/01/18 08:41:58.518;Variant 5;5;Post;General;;Resource02;task-8560;T06 Determine necessity of stop advice;complete;Group 1;74617.894
case-4922;T10 Determine necessity to stop indication-complete;Resource02;2011/01/18 08:42:16.927;Variant 5;5;Post;General;;Resource02;task-8703;T10 Determine necessity to stop indication;complete;Group 1;18.409
case-4922;T05 Print and send confirmation of receipt-complete;admin1;2011/01/18 10:12:55.742;Variant 5;5;Post;General;;Resource02;task-8585;T05 Print and send confirmation of receipt;complete;Group 2;5438.815
case-4923;Confirmation of receipt-complete;Resource02;2011/01/17 11:50:08.510;Variant 24;24;Post;General;;Resource02;task-5411;Confirmation of receipt;complete;EMPTY;0.0
case-4923;T02 Check confirmation of receipt-complete;Resource02;2011/01/17 11:50:56.307;Variant 24;24;Post;General;;Resource02;task-8573;T02 Check confirmation of receipt;complete;EMPTY;47.797
case-4923;T04 Determine confirmation of receipt-complete;Resource10;2011/01/17 12:08:19.897;Variant 24;24;Post;General;;Resource02;task-8575;T04 Determine confirmation of receipt;complete;Group 3;1043.59
case-4923;T06 Determine necessity of stop advice-complete;Resource02;2011/01/18 09:48:46.250;Variant 24;24;Post;General;;Resource02;task-8574;T06 Determine necessity of stop advice;complete;Group 1;78026.353
case-4923;T07-1 Draft intern advice aspect 1-complete;Resource02;2011/01/18 09:49:33.297;Variant 24;24;Post;General;;Resource02;task-8735;T07-1 Draft intern advice aspect 1;complete;EMPTY;47.047
case-4923;T06 Determine necessity of stop advice-complete;Resource02;2011/01/18 09:49:51.532;Variant 24;24;Post;General;;Resource02;task-8736;T06 Determine necessity of stop advice;complete;Group 1;18.235
case-4923;T10 Determine necessity to stop indication-complete;Resource02;2011/01/18 09:50:05.744;Variant 24;24;Post;General;;Resource02;task-8737;T10 Determine necessity to stop indication;complete;Group 1;14.212
case-4923;T05 Print and send confirmation of receipt-complete;admin1;2011/01/18 10:09:36.866;Variant 24;24;Post;General;;Resource02;task-8594;T05 Print and send confirmation of receipt;complete;Group 2;1171.122
case-4924;Confirmation of receipt-complete;Resource09;2011/01/18 12:53:37.525;Variant 14;14;Desk;General;;Resource09;task-5422;Confirmation of receipt;complete;EMPTY;0.0
case-4924;T06 Determine necessity of stop advice-complete;Resource09;2011/01/18 12:54:37.901;Variant 14;14;Desk;General;;Resource09;task-8800;T06 Determine necessity of stop advice;complete;Group 1;60.376
case-4924;T10 Determine necessity to stop indication-complete;Resource09;2011/01/18 12:55:08.036;Variant 14;14;Desk;General;;Resource09;task-8801;T10 Determine necessity to stop indication;complete;Group 1;30.135
case-4924;T02 Check confirmation of receipt-complete;Resource24;2011/02/07 15:33:18.597;Variant 14;14;Desk;General;;Resource09;task-8799;T02 Check confirmation of receipt;complete;EMPTY;1737490.561
case-4924;T03 Adjust confirmation of receipt-complete;Resource09;2011/02/09 14:00:41.522;Variant 14;14;Desk;General;;Resource09;task-11299;T03 Adjust confirmation of receipt;complete;Group 1;167242.925
case-4924;T02 Check confirmation of receipt-complete;Resource10;2011/02/09 15:06:11.727;Variant 14;14;Desk;General;;Resource09;task-11518;T02 Check confirmation of receipt;complete;Group 4;3930.205
case-4924;T04 Determine confirmation of receipt-complete;Resource10;2011/02/09 15:06:28.296;Variant 14;14;Desk;General;;Resource09;task-11527;T04 Determine confirmation of receipt;complete;Group 3;16.569
case-4924;T05 Print and send confirmation of receipt-complete;admin1;2011/02/11 08:38:09.108;Variant 14;14;Desk;General;;Resource09;task-11528;T05 Print and send confirmation of receipt;complete;Group 2;149500.812
case-4925;Confirmation of receipt-complete;Resource12;2011/01/03 11:33:36.015;Variant 21;21;Desk;General;;Resource12;task-5434;Confirmation of receipt;complete;EMPTY;0.0
case-4925;T02 Check confirmation of receipt-complete;Resource12;2011/01/03 11:34:03.359;Variant 21;21;Desk;General;;Resource12;task-6521;T02 Check confirmation of receipt;complete;Group 4;27.344
case-4925;T04 Determine confirmation of receipt-complete;Resource10;2011/01/03 13:55:10.205;Variant 21;21;Desk;General;;Resource12;task-6523;T04 Determine confirmation of receipt;complete;Group 3;8466.846
case-4925;T05 Print and send confirmation of receipt-complete;admin1;2011/01/07 11:50:26.443;Variant 21;21;Desk;General;;Resource12;task-6578;T05 Print and send confirmation of receipt;complete;Group 2;338116.238
case-4925;T06 Determine necessity of stop advice-complete;Resource12;2011/01/12 10:17:44.150;Variant 21;21;Desk;General;;Resource12;task-6522;T06 Determine necessity of stop advice;complete;Group 1;426437.707
case-4925;T07-1 Draft intern advice aspect 1-complete;Resource12;2011/01/13 11:30:08.958;Variant 21;21;Desk;General;;Resource12;task-7856;T07-1 Draft intern advice aspect 1;complete;EMPTY;90744.808
case-4925;T06 Determine necessity of stop advice-complete;Resource12;2011/01/13 11:30:30.314;Variant 21;21;Desk;General;;Resource12;task-8096;T06 Determine necessity of stop advice;complete;Group 1;21.356
case-4925;T10 Determine necessity to stop indication-complete;Resource12;2011/01/13 11:31:10.934;Variant 21;21;Desk;General;;Resource12;task-8097;T10 Determine necessity to stop indication;complete;Group 1;40.62
case-4926;Confirmation of receipt-complete;Resource15;2011/01/12 14:54:04.422;Variant 2;2;Desk;General;;Resource15;task-5438;Confirmation of receipt;complete;EMPTY;0.0
case-4926;T06 Determine necessity of stop advice-complete;Resource15;2011/01/12 15:20:58.827;Variant 2;2;Desk;General;;Resource15;task-7941;T06 Determine necessity of stop advice;complete;Group 1;1614.405
case-4926;T10 Determine necessity to stop indication-complete;Resource15;2011/01/12 15:21:16.895;Variant 2;2;Desk;General;;Resource15;task-7946;T10 Determine necessity to stop indication;complete;Group 1;18.068
case-4926;T02 Check confirmation of receipt-complete;Resource10;2011/01/13 11:17:26.872;Variant 2;2;Desk;General;;Resource15;task-7940;T02 Check confirmation of receipt;complete;Group 4;71769.977
case-4926;T04 Determine confirmation of receipt-complete;Resource10;2011/01/13 11:17:40.718;Variant 2;2;Desk;General;;Resource15;task-8089;T04 Determine confirmation of receipt;complete;Group 3;13.846
case-4926;T05 Print and send confirmation of receipt-complete;admin1;2011/01/18 09:42:16.277;Variant 2;2;Desk;General;;Resource15;task-8090;T05 Print and send confirmation of receipt;complete;Group 2;426275.559
case-4927;Confirmation of receipt-complete;Resource07;2010/12/30 07:55:59.103;Variant 2;2;Desk;General;;Resource07;task-5441;Confirmation of receipt;complete;EMPTY;0.0
case-4927;T06 Determine necessity of stop advice-complete;Resource07;2010/12/30 07:56:43.232;Variant 2;2;Desk;General;;Resource07;task-6237;T06 Determine necessity of stop advice;complete;Group 1;44.129
case-4927;T10 Determine necessity to stop indication-complete;Resource07;2010/12/30 08:01:02.994;Variant 2;2;Desk;General;;Resource07;task-6238;T10 Determine necessity to stop indication;complete;Group 1;259.762
case-4927;T02 Check confirmation of receipt-complete;Resource19;2010/12/30 09:09:49.746;Variant 2;2;Desk;General;;Resource07;task-6236;T02 Check confirmation of receipt;complete;EMPTY;4126.752
case-4927;T04 Determine confirmation of receipt-complete;Resource10;2010/12/31 09:12:15.940;Variant 2;2;Desk;General;;Resource07;task-6260;T04 Determine confirmation of receipt;complete;Group 3;86546.194
case-4927;T05 Print and send confirmation of receipt-complete;Resource07;2011/01/03 16:32:49.294;Variant 2;2;Desk;General;;Resource07;task-6387;T05 Print and send confirmation of receipt;complete;Group 2;285633.354
case-4930;Confirmation of receipt-complete;Resource17;2011/01/07 09:09:02.887;Variant 2;2;Internet;General;;Resource17;task-5467;Confirmation of receipt;complete;EMPTY;0.0
case-4930;T06 Determine necessity of stop advice-complete;Resource17;2011/01/07 09:48:45.404;Variant 2;2;Internet;General;;Resource17;task-7161;T06 Determine necessity of stop advice;complete;Group 1;2382.517
case-4930;T10 Determine necessity to stop indication-complete;Resource17;2011/01/07 09:49:04.509;Variant 2;2;Internet;General;;Resource17;task-7183;T10 Determine necessity to stop indication;complete;Group 1;19.105
case-4930;T02 Check confirmation of receipt-complete;Resource17;2011/01/07 09:49:42.207;Variant 2;2;Internet;General;;Resource17;task-7160;T02 Check confirmation of receipt;complete;EMPTY;37.698
case-4930;T04 Determine confirmation of receipt-complete;Resource10;2011/01/07 11:32:18.303;Variant 2;2;Internet;General;;Resource17;task-7185;T04 Determine confirmation of receipt;complete;Group 3;6156.096
case-4930;T05 Print and send confirmation of receipt-complete;admin1;2011/01/07 15:45:32.198;Variant 2;2;Internet;General;;Resource17;task-7225;T05 Print and send confirmation of receipt;complete;Group 2;15193.895
case-4939;Confirmation of receipt-complete;Resource17;2011/01/10 10:28:15.346;Variant 2;2;Internet;General;;Resource17;task-5519;Confirmation of receipt;complete;EMPTY;0.0
case-4939;T06 Determine necessity of stop advice-complete;Resource17;2011/01/10 10:28:28.630;Variant 2;2;Internet;General;;Resource17;task-7391;T06 Determine necessity of stop advice;complete;Group 1;13.284
case-4939;T10 Determine necessity to stop indication-complete;Resource17;2011/01/10 10:28:47.739;Variant 2;2;Internet;General;;Resource17;task-7392;T10 Determine necessity to stop indication;complete;Group 1;19.109
case-4939;T02 Check confirmation of receipt-complete;Resource17;2011/01/10 10:29:22.672;Variant 2;2;Internet;General;;Resource17;task-7390;T02 Check confirmation of receipt;complete;EMPTY;34.933
case-4939;T04 Determine confirmation of receipt-complete;Resource10;2011/01/10 11:49:59.816;Variant 2;2;Internet;General;;Resource17;task-7394;T04 Determine confirmation of receipt;complete;Group 3;4837.144
case-4939;T05 Print and send confirmation of receipt-complete;admin1;2011/01/11 13:27:46.315;Variant 2;2;Internet;General;;Resource17;task-7411;T05 Print and send confirmation of receipt;complete;Group 2;92266.499
case-4943;Confirmation of receipt-complete;Resource17;2011/01/10 12:15:38.509;Variant 2;2;Internet;General;;Resource17;task-5542;Confirmation of receipt;complete;EMPTY;0.0
case-4943;T06 Determine necessity of stop advice-complete;Resource17;2011/01/10 12:15:54.133;Variant 2;2;Internet;General;;Resource17;task-7416;T06 Determine necessity of stop advice;complete;Group 1;15.624
case-4943;T10 Determine necessity to stop indication-complete;Resource17;2011/01/10 12:16:06.257;Variant 2;2;Internet;General;;Resource17;task-7417;T10 Determine necessity to stop indication;complete;Group 1;12.124
case-4943;T02 Check confirmation of receipt-complete;Resource17;2011/01/10 12:18:14.442;Variant 2;2;Internet;General;;Resource17;task-7415;T02 Check confirmation of receipt;complete;EMPTY;128.185
case-4943;T04 Determine confirmation of receipt-complete;Resource10;2011/01/10 14:23:12.135;Variant 2;2;Internet;General;;Resource17;task-7421;T04 Determine confirmation of receipt;complete;Group 3;7497.693
case-4943;T05 Print and send confirmation of receipt-complete;admin1;2011/01/11 13:25:53.817;Variant 2;2;Internet;General;;Resource17;task-7445;T05 Print and send confirmation of receipt;complete;Group 2;82961.682
case-4944;Confirmation of receipt-complete;Resource02;2011/01/19 17:08:59.152;Variant 4;4;Internet;General;;Resource02;task-5552;Confirmation of receipt;complete;EMPTY;0.0
case-4944;T02 Check confirmation of receipt-complete;Resource02;2011/01/19 17:09:55.928;Variant 4;4;Internet;General;;Resource02;task-9028;T02 Check confirmation of receipt;complete;EMPTY;56.776
case-4944;T06 Determine necessity of stop advice-complete;Resource02;2011/01/20 07:51:24.410;Variant 4;4;Internet;General;;Resource02;task-9029;T06 Determine necessity of stop advice;complete;Group 1;52888.482
case-4944;T10 Determine necessity to stop indication-complete;Resource02;2011/01/20 08:38:19.981;Variant 4;4;Internet;General;;Resource02;task-9034;T10 Determine necessity to stop indication;complete;Group 1;2815.571
case-4944;T04 Determine confirmation of receipt-complete;Resource10;2011/01/21 09:24:24.968;Variant 4;4;Internet;General;;Resource02;task-9030;T04 Determine confirmation of receipt;complete;Group 3;89164.987
case-4944;T05 Print and send confirmation of receipt-complete;admin1;2011/01/24 12:20:40.484;Variant 4;4;Internet;General;;Resource02;task-9193;T05 Print and send confirmation of receipt;complete;Group 2;269775.516
case-4946;Confirmation of receipt-complete;Resource08;2010/12/30 14:19:04.351;Variant 1;1;Desk;General;;Resource08;task-5580;Confirmation of receipt;complete;EMPTY;0.0
case-4946;T02 Check confirmation of receipt-complete;Resource08;2010/12/30 14:19:39.338;Variant 1;1;Desk;General;;Resource08;task-6362;T02 Check confirmation of receipt;complete;EMPTY;34.987
case-4946;T04 Determine confirmation of receipt-complete;Resource10;2010/12/31 09:19:30.644;Variant 1;1;Desk;General;;Resource08;task-6364;T04 Determine confirmation of receipt;complete;Group 3;68391.306
case-4946;T05 Print and send confirmation of receipt-complete;admin1;2010/12/31 11:43:06.997;Variant 1;1;Desk;General;;Resource08;task-6392;T05 Print and send confirmation of receipt;complete;Group 2;8616.353
case-4946;T06 Determine necessity of stop advice-complete;Resource08;2011/01/11 15:57:57.437;Variant 1;1;Desk;General;;Resource08;task-6363;T06 Determine necessity of stop advice;complete;Group 1;965690.44
case-4946;T10 Determine necessity to stop indication-complete;Resource08;2011/01/11 16:06:35.978;Variant 1;1;Desk;General;;Resource08;task-7789;T10 Determine necessity to stop indication;complete;Group 1;518.541
case-4947;Confirmation of receipt-complete;Resource17;2011/01/10 15:11:45.596;Variant 2;2;Desk;General;;Resource17;task-5597;Confirmation of receipt;complete;EMPTY;0.0
case-4947;T06 Determine necessity of stop advice-complete;Resource17;2011/01/10 15:12:08.048;Variant 2;2;Desk;General;;Resource17;task-7457;T06 Determine necessity of stop advice;complete;Group 1;22.452
case-4947;T10 Determine necessity to stop indication-complete;Resource17;2011/01/10 15:12:24.068;Variant 2;2;Desk;General;;Resource17;task-7458;T10 Determine necessity to stop indication;complete;Group 1;16.02
case-4947;T02 Check confirmation of receipt-complete;Resource17;2011/01/10 15:13:10.742;Variant 2;2;Desk;General;;Resource17;task-7456;T02 Check confirmation of receipt;complete;EMPTY;46.674
case-4947;T04 Determine confirmation of receipt-complete;Resource10;2011/01/10 15:36:15.847;Variant 2;2;Desk;General;;Resource17;task-7462;T04 Determine confirmation of receipt;complete;Group 3;1385.105
case-4947;T05 Print and send confirmation of receipt-complete;admin1;2011/01/11 11:38:07.480;Variant 2;2;Desk;General;;Resource17;task-7490;T05 Print and send confirmation of receipt;complete;Group 2;72111.633
case-4954;Confirmation of receipt-complete;Resource17;2011/01/07 15:54:09.192;Variant 4;4;Post;General;;Resource17;task-5719;Confirmation of receipt;complete;EMPTY;0.0
case-4954;T02 Check confirmation of receipt-complete;Resource17;2011/01/07 15:54:38.491;Variant 4;4;Post;General;;Resource17;task-7327;T02 Check confirmation of receipt;complete;EMPTY;29.299
case-4954;T06 Determine necessity of stop advice-complete;Resource17;2011/01/07 15:54:55.831;Variant 4;4;Post;General;;Resource17;task-7328;T06 Determine necessity of stop advice;complete;Group 1;17.34
case-4954;T10 Determine necessity to stop indication-complete;Resource17;2011/01/07 15:55:12.717;Variant 4;4;Post;General;;Resource17;task-7330;T10 Determine necessity to stop indication;complete;Group 1;16.886
case-4954;T04 Determine confirmation of receipt-complete;Resource10;2011/01/07 16:22:30.887;Variant 4;4;Post;General;;Resource17;task-7329;T04 Determine confirmation of receipt;complete;Group 3;1638.17
case-4954;T05 Print and send confirmation of receipt-complete;admin1;2011/01/11 11:41:24.562;Variant 4;4;Post;General;;Resource17;task-7342;T05 Print and send confirmation of receipt;complete;Group 2;328733.675
case-4955;Confirmation of receipt-complete;Resource08;2010/12/30 13:45:37.206;Variant 1;1;Post;General;;Resource08;task-5730;Confirmation of receipt;complete;EMPTY;0.0
case-4955;T02 Check confirmation of receipt-complete;Resource08;2010/12/30 13:46:11.494;Variant 1;1;Post;General;;Resource08;task-6358;T02 Check confirmation of receipt;complete;EMPTY;34.288
case-4955;T04 Determine confirmation of receipt-complete;Resource10;2010/12/31 09:18:14.969;Variant 1;1;Post;General;;Resource08;task-6360;T04 Determine confirmation of receipt;complete;Group 3;70323.475
case-4955;T05 Print and send confirmation of receipt-complete;admin1;2010/12/31 11:42:36.327;Variant 1;1;Post;General;;Resource08;task-6391;T05 Print and send confirmation of receipt;complete;Group 2;8661.358
case-4955;T06 Determine necessity of stop advice-complete;Resource08;2011/01/10 15:17:56.354;Variant 1;1;Post;General;;Resource08;task-6359;T06 Determine necessity of stop advice;complete;Group 1;876920.027
case-4955;T10 Determine necessity to stop indication-complete;Resource08;2011/01/10 15:40:01.059;Variant 1;1;Post;General;;Resource08;task-7469;T10 Determine necessity to stop indication;complete;Group 1;1324.705
case-4969;Confirmation of receipt-complete;Resource08;2010/12/30 14:34:56.858;Variant 4;4;Internet;General;;Resource08;task-5816;Confirmation of receipt;complete;EMPTY;0.0
case-4969;T02 Check confirmation of receipt-complete;Resource08;2011/01/13 15:48:45.500;Variant 4;4;Internet;General;;Resource08;task-6366;T02 Check confirmation of receipt;complete;EMPTY;1214028.642
case-4969;T06 Determine necessity of stop advice-complete;Resource08;2011/01/13 15:51:06.212;Variant 4;4;Internet;General;;Resource08;task-6367;T06 Determine necessity of stop advice;complete;Group 1;140.712
case-4969;T10 Determine necessity to stop indication-complete;Resource08;2011/01/13 15:51:32.019;Variant 4;4;Internet;General;;Resource08;task-8209;T10 Determine necessity to stop indication;complete;Group 1;25.807
case-4969;T04 Determine confirmation of receipt-complete;Resource10;2011/01/13 16:33:27.908;Variant 4;4;Internet;General;;Resource08;task-8205;T04 Determine confirmation of receipt;complete;Group 3;2515.889
case-4969;T05 Print and send confirmation of receipt-complete;admin1;2011/01/14 09:36:13.350;Variant 4;4;Internet;General;;Resource08;task-8244;T05 Print and send confirmation of receipt;complete;Group 2;61365.442
case-4972;Confirmation of receipt-complete;Resource07;2010/12/28 16:52:10.618;Variant 2;2;Internet;General;;Resource07;task-5838;Confirmation of receipt;complete;EMPTY;0.0
case-4972;T06 Determine necessity of stop advice-complete;Resource07;2010/12/28 16:52:31.705;Variant 2;2;Internet;General;;Resource07;task-6109;T06 Determine necessity of stop advice;complete;Group 1;21.087
case-4972;T10 Determine necessity to stop indication-complete;Resource07;2010/12/28 16:53:21.828;Variant 2;2;Internet;General;;Resource07;task-6110;T10 Determine necessity to stop indication;complete;Group 1;50.123
case-4972;T02 Check confirmation of receipt-complete;Resource19;2010/12/30 08:59:32.164;Variant 2;2;Internet;General;;Resource07;task-6108;T02 Check confirmation of receipt;complete;EMPTY;144370.336
case-4972;T04 Determine confirmation of receipt-complete;Resource07;2010/12/30 09:37:15.629;Variant 2;2;Internet;General;;Resource07;task-6253;T04 Determine confirmation of receipt;complete;Group 3;2263.465
case-4972;T05 Print and send confirmation of receipt-complete;Resource07;2010/12/30 09:37:28.595;Variant 2;2;Internet;General;;Resource07;task-6271;T05 Print and send confirmation of receipt;complete;Group 2;12.966
case-4973;Confirmation of receipt-complete;Resource07;2010/12/28 16:23:37.616;Variant 2;2;Internet;General;;Resource07;task-5839;Confirmation of receipt;complete;EMPTY;0.0
case-4973;T06 Determine necessity of stop advice-complete;Resource07;2010/12/28 16:23:56.714;Variant 2;2;Internet;General;;Resource07;task-6097;T06 Determine necessity of stop advice;complete;Group 1;19.098
case-4973;T10 Determine necessity to stop indication-complete;Resource07;2010/12/28 16:24:13.731;Variant 2;2;Internet;General;;Resource07;task-6098;T10 Determine necessity to stop indication;complete;Group 1;17.017
case-4973;T02 Check confirmation of receipt-complete;Resource19;2010/12/30 09:04:50.621;Variant 2;2;Internet;General;;Resource07;task-6096;T02 Check confirmation of receipt;complete;EMPTY;146436.89
case-4973;T04 Determine confirmation of receipt-complete;Resource07;2010/12/30 10:31:48.154;Variant 2;2;Internet;General;;Resource07;task-6257;T04 Determine confirmation of receipt;complete;Group 3;5217.533
case-4973;T05 Print and send confirmation of receipt-complete;Resource07;2010/12/30 10:32:04.094;Variant 2;2;Internet;General;;Resource07;task-6293;T05 Print and send confirmation of receipt;complete;Group 2;15.94
case-4975;Confirmation of receipt-complete;Resource04;2011/01/03 10:31:34.480;Variant 4;4;Internet;General;;Resource04;task-5846;Confirmation of receipt;complete;EMPTY;0.0
case-4975;T02 Check confirmation of receipt-complete;Resource04;2011/01/03 10:32:13.490;Variant 4;4;Internet;General;;Resource04;task-6490;T02 Check confirmation of receipt;complete;Group 4;39.01
case-4975;T06 Determine necessity of stop advice-complete;Resource04;2011/01/03 11:07:11.735;Variant 4;4;Internet;General;;Resource04;task-6491;T06 Determine necessity of stop advice;complete;Group 1;2098.245
case-4975;T10 Determine necessity to stop indication-complete;Resource04;2011/01/03 11:07:26.033;Variant 4;4;Internet;General;;Resource04;task-6500;T10 Determine necessity to stop indication;complete;Group 1;14.298
case-4975;T04 Determine confirmation of receipt-complete;Resource10;2011/01/03 12:00:57.185;Variant 4;4;Internet;General;;Resource04;task-6492;T04 Determine confirmation of receipt;complete;Group 3;3211.152
case-4975;T05 Print and send confirmation of receipt-complete;admin1;2011/01/07 11:48:13.916;Variant 4;4;Internet;General;;Resource04;task-6550;T05 Print and send confirmation of receipt;complete;Group 2;344836.731
case-4976;Confirmation of receipt-complete;Resource11;2010/12/28 08:58:59.254;Variant 2;2;Post;General;;Resource11;task-5847;Confirmation of receipt;complete;EMPTY;0.0
case-4976;T06 Determine necessity of stop advice-complete;Resource11;2010/12/28 09:01:15.042;Variant 2;2;Post;General;;Resource11;task-5972;T06 Determine necessity of stop advice;complete;Group 1;135.788
case-4976;T10 Determine necessity to stop indication-complete;Resource11;2010/12/28 09:01:33.415;Variant 2;2;Post;General;;Resource11;task-5975;T10 Determine necessity to stop indication;complete;Group 1;18.373
case-4976;T02 Check confirmation of receipt-complete;Resource10;2010/12/28 12:25:05.826;Variant 2;2;Post;General;;Resource11;task-5971;T02 Check confirmation of receipt;complete;Group 4;12212.411
case-4976;T04 Determine confirmation of receipt-complete;Resource10;2010/12/28 12:25:19.053;Variant 2;2;Post;General;;Resource11;task-6044;T04 Determine confirmation of receipt;complete;Group 3;13.227
case-4976;T05 Print and send confirmation of receipt-complete;Resource11;2010/12/29 11:02:58.354;Variant 2;2;Post;General;;Resource11;task-6045;T05 Print and send confirmation of receipt;complete;EMPTY;81459.301
case-4980;Confirmation of receipt-complete;Resource09;2011/01/05 13:16:11.638;Variant 2;2;Internet;General;;Resource09;task-5872;Confirmation of receipt;complete;EMPTY;0.0
case-4980;T06 Determine necessity of stop advice-complete;Resource09;2011/01/05 13:17:19.396;Variant 2;2;Internet;General;;Resource09;task-6870;T06 Determine necessity of stop advice;complete;Group 1;67.758
case-4980;T10 Determine necessity to stop indication-complete;Resource09;2011/01/05 13:40:23.362;Variant 2;2;Internet;General;;Resource09;task-6871;T10 Determine necessity to stop indication;complete;Group 1;1383.966
case-4980;T02 Check confirmation of receipt-complete;Resource24;2011/01/13 12:59:26.562;Variant 2;2;Internet;General;;Resource09;task-6869;T02 Check confirmation of receipt;complete;EMPTY;688743.2
case-4980;T04 Determine confirmation of receipt-complete;Resource09;2011/01/25 09:22:42.562;Variant 2;2;Internet;General;;Resource09;task-8155;T04 Determine confirmation of receipt;complete;EMPTY;1023796.0
case-4980;T05 Print and send confirmation of receipt-complete;Resource09;2011/01/25 09:23:19.236;Variant 2;2;Internet;General;;Resource09;task-9417;T05 Print and send confirmation of receipt;complete;Group 2;36.674
case-4981;Confirmation of receipt-complete;Resource14;2011/01/11 09:49:19.363;Variant 2;2;Internet;General;;Resource14;task-5876;Confirmation of receipt;complete;EMPTY;0.0
case-4981;T06 Determine necessity of stop advice-complete;Resource14;2011/01/11 10:29:35.262;Variant 2;2;Internet;General;;Resource14;task-7571;T06 Determine necessity of stop advice;complete;Group 1;2415.899
case-4981;T10 Determine necessity to stop indication-complete;Resource14;2011/01/11 10:29:52.600;Variant 2;2;Internet;General;;Resource14;task-7584;T10 Determine necessity to stop indication;complete;Group 1;17.338
case-4981;T02 Check confirmation of receipt-complete;Resource14;2011/01/11 10:31:20.626;Variant 2;2;Internet;General;;Resource14;task-7570;T02 Check confirmation of receipt;complete;EMPTY;88.026
case-4981;T04 Determine confirmation of receipt-complete;Resource10;2011/01/11 10:48:54.789;Variant 2;2;Internet;General;;Resource14;task-7588;T04 Determine confirmation of receipt;complete;Group 3;1054.163
case-4981;T05 Print and send confirmation of receipt-complete;admin1;2011/01/11 14:11:50.889;Variant 2;2;Internet;General;;Resource14;task-7603;T05 Print and send confirmation of receipt;complete;Group 2;12176.1
case-4986;Confirmation of receipt-complete;Resource04;2011/01/03 10:36:13.845;Variant 4;4;Internet;General;;Resource04;task-5919;Confirmation of receipt;complete;EMPTY;0.0
case-4986;T02 Check confirmation of receipt-complete;Resource04;2011/01/03 10:36:26.627;Variant 4;4;Internet;General;;Resource04;task-6493;T02 Check confirmation of receipt;complete;Group 4;12.782
case-4986;T06 Determine necessity of stop advice-complete;Resource04;2011/01/03 12:56:44.341;Variant 4;4;Internet;General;;Resource04;task-6494;T06 Determine necessity of stop advice;complete;Group 1;8417.714
case-4986;T10 Determine necessity to stop indication-complete;Resource04;2011/01/03 12:57:00.153;Variant 4;4;Internet;General;;Resource04;task-6563;T10 Determine necessity to stop indication;complete;Group 1;15.812
case-4986;T04 Determine confirmation of receipt-complete;Resource10;2011/01/03 12:57:05.714;Variant 4;4;Internet;General;;Resource04;task-6495;T04 Determine confirmation of receipt;complete;Group 3;5.561
case-4986;T05 Print and send confirmation of receipt-complete;admin1;2011/01/07 11:52:15.292;Variant 4;4;Internet;General;;Resource04;task-6566;T05 Print and send confirmation of receipt;complete;Group 2;341709.578
case-4995;Confirmation of receipt-complete;Resource14;2011/01/11 11:04:08.708;Variant 2;2;Desk;General;;Resource14;task-5995;Confirmation of receipt;complete;EMPTY;0.0
case-4995;T06 Determine necessity of stop advice-complete;Resource14;2011/01/11 11:06:49.696;Variant 2;2;Desk;General;;Resource14;task-7609;T06 Determine necessity of stop advice;complete;Group 1;160.988
case-4995;T10 Determine necessity to stop indication-complete;Resource14;2011/01/11 11:07:05.230;Variant 2;2;Desk;General;;Resource14;task-7610;T10 Determine necessity to stop indication;complete;Group 1;15.534
case-4995;T02 Check confirmation of receipt-complete;Resource10;2011/01/11 12:16:03.586;Variant 2;2;Desk;General;;Resource14;task-7608;T02 Check confirmation of receipt;complete;Group 4;4138.356
case-4995;T04 Determine confirmation of receipt-complete;Resource10;2011/01/11 12:16:13.822;Variant 2;2;Desk;General;;Resource14;task-7666;T04 Determine confirmation of receipt;complete;Group 3;10.236
case-4995;T05 Print and send confirmation of receipt-complete;admin1;2011/01/11 13:59:22.494;Variant 2;2;Desk;General;;Resource14;task-7667;T05 Print and send confirmation of receipt;complete;Group 2;6188.672
case-4998;Confirmation of receipt-complete;Resource17;2011/01/10 15:25:48.168;Variant 4;4;Post;General;;Resource17;task-5999;Confirmation of receipt;complete;EMPTY;0.0
case-4998;T02 Check confirmation of receipt-complete;Resource17;2011/01/10 15:26:01.053;Variant 4;4;Post;General;;Resource17;task-7472;T02 Check confirmation of receipt;complete;Group 4;12.885
